"lgID","tmID","name","arena"
"NBA","LAL","Los Angeles Lakers","The Forum"
"NBA","MIL","Milwaukee Bucks","Milwaukee Arena"
"NBA","NYK","New York Knicks","Madison Square Garden (IV)"
"NBA","PHI","Philadelphia 76ers","The Spectrum"
"NBA","PHO","Phoenix Suns","Arizona Veterans Memorial Coliseum"
"NBA","SDR","San Diego Rockets","San Diego Sports Arena"
"NBA","SEA","Seattle Supersonics","Seattle Center Coliseum"
"NBA","SFW","San Francisco Warriors","Oakland-Alameda County Coliseum Arena"
"ABA","CAR","Carolina Cougars","Greensboro Coliseum"
"ABA","DNR","Denver Rockets","Denver Auditorium Arena"
"ABA","FLO","The Floridians","Miami Beach Convention Hall"
"ABA","INA","Indiana Pacers","Indiana State Fair Coliseum"
"ABA","KEN","Kentucky Colonels","Freedom Hall"
"ABA","MMP","Memphis Pros","Mid-South Coliseum"
"ABA","NYA","New York Nets","Island Garden"
"ABA","PTC","Pittsburgh Condors","Pittsburgh Civic Arena"
"ABA","TEX","Texas Chaparrals","Moody Coliseum"
"ABA","UTS","Utah Stars","Salt Palace"
"ABA","VIR","Virginia Squires","Old Dominion University Fieldhouse"
"NBA","ATL","Atlanta Hawks","Alexander Memorial Coliseum"
"NBA","BAL","Baltimore Bullets","Baltimore Civic Center"
"NBA","BOS","Boston Celtics","Boston Garden"
"NBA","BUF","Buffalo Braves","Buffalo Memorial Auditorium"
"NBA","CHI","Chicago Bulls","Chicago Stadium"
"NBA","CIN","Cincinnati Royals","Cincinnati Gardens"
"NBA","CLE","Cleveland Cavaliers","Cleveland Arena"
"NBA","DET","Detroit Pistons","Cobo Arena"
"NBA","LAL","Los Angeles Lakers","The Forum"
"NBA","MIL","Milwaukee Bucks","Milwaukee Arena"
"NBA","NYK","New York Knicks","Madison Square Garden (IV)"
"NBA","PHI","Philadelphia 76ers","The Spectrum"
"NBA","PHO","Phoenix Suns","Arizona Veterans Memorial Coliseum"
"NBA","POR","Portland Trail Blazers","Memorial Coliseum"
"NBA","SDR","San Diego Rockets","San Diego Sports Arena"
"NBA","SEA","Seattle Supersonics","Seattle Center Coliseum"
"NBA","SFW","San Francisco Warriors","Oakland-Alameda County Coliseum Arena"
"ABA","CAR","Carolina Cougars","Greensboro Coliseum"
"ABA","DLC","Dallas Chaparrals","Moody Coliseum"
"ABA","DNR","Denver Rockets","Denver Auditorium Arena"
"ABA","FLO","The Floridians","Miami Beach Convention Hall"
"ABA","INA","Indiana Pacers","Indiana State Fair Coliseum"
"ABA","KEN","Kentucky Colonels","Freedom Hall"
"ABA","MMP","Memphis Pros","Mid-South Coliseum"
"ABA","NYA","New York Nets","Nassau Veterans Memorial Coliseum"
"ABA","PTC","Pittsburgh Condors","Pittsburgh Civic Arena"
"ABA","UTS","Utah Stars","Salt Palace"
"ABA","VIR","Virginia Squires","Norfolk Scope"
"NBA","ATL","Atlanta Hawks","Alexander Memorial Coliseum"
"NBA","BAL","Baltimore Bullets","Baltimore Civic Center"
"NBA","BOS","Boston Celtics","Boston Garden"
"NBA","BUF","Buffalo Braves","Buffalo Memorial Auditorium"
"NBA","CHI","Chicago Bulls","Chicago Stadium"
"NBA","CIN","Cincinnati Royals","Cincinnati Gardens"
"NBA","CLE","Cleveland Cavaliers","Cleveland Arena"
"NBA","DET","Detroit Pistons","Cobo Arena"
"NBA","GSW","Golden State Warriors","Oakland-Alameda County Coliseum Arena"
"NBA","HOU","Houston Rockets","Hofheinz Pavilion"
"NBA","LAL","Los Angeles Lakers","The Forum"
"NBA","MIL","Milwaukee Bucks","Milwaukee Arena"
"NBA","NYK","New York Knicks","Madison Square Garden (IV)"
"NBA","PHI","Philadelphia 76ers","The Spectrum"
"NBA","PHO","Phoenix Suns","Arizona Veterans Memorial Coliseum"
"NBA","POR","Portland Trail Blazers","Memorial Coliseum"
"NBA","SEA","Seattle Supersonics","Seattle Center Coliseum"
"ABA","CAR","Carolina Cougars","Greensboro Coliseum"
"ABA","DLC","Dallas Chaparrals","Moody Coliseum"
"ABA","DNR","Denver Rockets","Denver Auditorium Arena"
"ABA","INA","Indiana Pacers","Indiana State Fair Coliseum"
"ABA","KEN","Kentucky Colonels","Freedom Hall"
"ABA","MMT","Memphis Tams","Mid-South Coliseum"
"ABA","NYA","New York Nets","Nassau Veterans Memorial Coliseum"
"ABA","SDA","San Diego Conquistadors","Peterson Gym"
"ABA","UTS","Utah Stars","Salt Palace"
"ABA","VIR","Virginia Squires","Norfolk Scope"
"NBA","ATL","Atlanta Hawks","Omni Coliseum"
"NBA","BAL","Baltimore Bullets","Baltimore Civic Center"
"NBA","BOS","Boston Celtics","Boston Garden"
"NBA","BUF","Buffalo Braves","Buffalo Memorial Auditorium"
"NBA","CHI","Chicago Bulls","Chicago Stadium"
"NBA","CLE","Cleveland Cavaliers","Cleveland Arena"
"NBA","DET","Detroit Pistons","Cobo Arena"
"NBA","GSW","Golden State Warriors","Oakland-Alameda County Coliseum Arena"
"NBA","HOU","Houston Rockets","Hofheinz Pavilion"
"NBA","KCO","KC-Omaha Kings","Municipal Auditorium"
"NBA","LAL","Los Angeles Lakers","The Forum"
"NBA","MIL","Milwaukee Bucks","Milwaukee Arena"
"NBA","NYK","New York Knicks","Madison Square Garden (IV)"
"NBA","PHI","Philadelphia 76ers","The Spectrum"
"NBA","PHO","Phoenix Suns","Arizona Veterans Memorial Coliseum"
"NBA","POR","Portland Trail Blazers","Memorial Coliseum"
"NBA","SEA","Seattle Supersonics","Seattle Center Coliseum"
"ABA","CAR","Carolina Cougars","Greensboro Coliseum"
"ABA","DNR","Denver Rockets","Denver Auditorium Arena"
"ABA","INA","Indiana Pacers","Indiana State Fair Coliseum"
"ABA","KEN","Kentucky Colonels","Freedom Hall"
"ABA","MMT","Memphis Tams","Mid-South Coliseum"
"ABA","NYA","New York Nets","Nassau Veterans Memorial Coliseum"
"ABA","SAA","San Antonio Spurs","HemisFair Arena"
"ABA","SDA","San Diego Conquistadors","Golden Hall"
"ABA","UTS","Utah Stars","Salt Palace"
"ABA","VIR","Virginia Squires","Norfolk Scope"
"NBA","ATL","Atlanta Hawks","Omni Coliseum"
"NBA","BOS","Boston Celtics","Boston Garden"
"NBA","BUF","Buffalo Braves","Buffalo Memorial Auditorium"
"NBA","CAP","Capital Bullets","Capital Centre"
"NBA","CHI","Chicago Bulls","Chicago Stadium"
"NBA","CLE","Cleveland Cavaliers","Cleveland Arena"
"NBA","DET","Detroit Pistons","Cobo Arena"
"NBA","GSW","Golden State Warriors","Oakland-Alameda County Coliseum Arena"
"NBA","HOU","Houston Rockets","Hofheinz Pavilion"
"NBA","KCO","KC-Omaha Kings","Municipal Auditorium"
"NBA","LAL","Los Angeles Lakers","The Forum"
"NBA","MIL","Milwaukee Bucks","Milwaukee Arena"
"NBA","NYK","New York Knicks","Madison Square Garden (IV)"
"NBA","PHI","Philadelphia 76ers","The Spectrum"
"NBA","PHO","Phoenix Suns","Arizona Veterans Memorial Coliseum"
"NBA","POR","Portland Trail Blazers","Memorial Coliseum"
"NBA","SEA","Seattle Supersonics","Seattle Center Coliseum"
"ABA","DNA","Denver Nuggets","Denver Auditorium Arena"
"ABA","INA","Indiana Pacers","Market Square Arena"
"ABA","KEN","Kentucky Colonels","Freedom Hall"
"ABA","MMS","Memphis Sounds","Mid-South Coliseum"
"ABA","NYA","New York Nets","Nassau Veterans Memorial Coliseum"
"ABA","SAA","San Antonio Spurs","HemisFair Arena"
"ABA","SDA","San Diego Conquistadors","San Diego Sports Arena"
"ABA","SSL","Spirits of St. Louis","St. Louis Arena"
"ABA","UTS","Utah Stars","Salt Palace"
"ABA","VIR","Virginia Squires","Norfolk Scope"
"NBA","ATL","Atlanta Hawks","Omni Coliseum"
"NBA","BOS","Boston Celtics","Boston Garden"
"NBA","BUF","Buffalo Braves","Buffalo Memorial Auditorium"
"NBA","CHI","Chicago Bulls","Chicago Stadium"
"NBA","CLE","Cleveland Cavaliers","Coliseum at Richfield"
"NBA","DET","Detroit Pistons","Cobo Arena"
"NBA","GSW","Golden State Warriors","Oakland-Alameda County Coliseum Arena"
"NBA","HOU","Houston Rockets","Hofheinz Pavilion"
"NBA","KCO","KC-Omaha Kings","Kemper Arena"
"NBA","LAL","Los Angeles Lakers","The Forum"
"NBA","MIL","Milwaukee Bucks","MECCA Arena"
"NBA","NOJ","New Orleans Jazz","Municipal Auditorium"
"NBA","NYK","New York Knicks","Madison Square Garden (IV)"
"NBA","PHI","Philadelphia 76ers","The Spectrum"
"NBA","PHO","Phoenix Suns","Arizona Veterans Memorial Coliseum"
"NBA","POR","Portland Trail Blazers","Memorial Coliseum"
"NBA","SEA","Seattle Supersonics","Seattle Center Coliseum"
"NBA","WSB","Washington Bullets","Capital Centre"
"ABA","DNA","Denver Nuggets","McNichols Sports Arena"
"ABA","INA","Indiana Pacers","Market Square Arena"
"ABA","KEN","Kentucky Colonels","Freedom Hall"
"ABA","NYA","New York Nets","Nassau Veterans Memorial Coliseum"
"ABA","SAA","San Antonio Spurs","HemisFair Arena"
"ABA","SDS","San Diego Sails","San Diego Sports Arena"
"ABA","SSL","Spirits of St. Louis","St. Louis Arena"
"ABA","UTS","Utah Stars","Salt Palace"
"ABA","VIR","Virginia Squires","Norfolk Scope"
"NBA","ATL","Atlanta Hawks","Omni Coliseum"
"NBA","BOS","Boston Celtics","Boston Garden"
"NBA","BUF","Buffalo Braves","Buffalo Memorial Auditorium"
"NBA","CHI","Chicago Bulls","Chicago Stadium"
"NBA","CLE","Cleveland Cavaliers","Coliseum at Richfield"
"NBA","DET","Detroit Pistons","Cobo Arena"
"NBA","GSW","Golden State Warriors","Oakland-Alameda County Coliseum Arena"
"NBA","HOU","Houston Rockets","The Summit"
"NBA","KCK","Kansas City Kings","Kemper Arena"
"NBA","LAL","Los Angeles Lakers","The Forum"
"NBA","MIL","Milwaukee Bucks","MECCA Arena"
"NBA","NOJ","New Orleans Jazz","Louisiana Superdome"
"NBA","NYK","New York Knicks","Madison Square Garden (IV)"
"NBA","PHI","Philadelphia 76ers","The Spectrum"
"NBA","PHO","Phoenix Suns","Arizona Veterans Memorial Coliseum"
"NBA","POR","Portland Trail Blazers","Memorial Coliseum"
"NBA","SEA","Seattle Supersonics","Seattle Center Coliseum"
"NBA","WSB","Washington Bullets","Capital Centre"
"NBA","ATL","Atlanta Hawks","Omni Coliseum"
"NBA","BOS","Boston Celtics","Boston Garden"
"NBA","BUF","Buffalo Braves","Buffalo Memorial Auditorium"
"NBA","CHI","Chicago Bulls","Chicago Stadium"
"NBA","CLE","Cleveland Cavaliers","Coliseum at Richfield"
"NBA","DEN","Denver Nuggets","McNichols Sports Arena"
"NBA","DET","Detroit Pistons","Cobo Arena"
"NBA","GSW","Golden State Warriors","Oakland-Alameda County Coliseum Arena"
"NBA","HOU","Houston Rockets","The Summit"
"NBA","IND","Indiana Pacers","Market Square Arena"
"NBA","KCK","Kansas City Kings","Kemper Arena"
"NBA","LAL","Los Angeles Lakers","The Forum"
"NBA","MIL","Milwaukee Bucks","MECCA Arena"
"NBA","NOJ","New Orleans Jazz","Louisiana Superdome"
"NBA","NYK","New York Knicks","Madison Square Garden (IV)"
"NBA","NYN","New York Nets","Nassau Veterans Memorial Coliseum"
"NBA","PHI","Philadelphia 76ers","The Spectrum"
"NBA","PHO","Phoenix Suns","Arizona Veterans Memorial Coliseum"
"NBA","POR","Portland Trail Blazers","Memorial Coliseum"
"NBA","SAS","San Antonio Spurs","HemisFair Arena"
"NBA","SEA","Seattle Supersonics","Seattle Center Coliseum"
"NBA","WSB","Washington Bullets","Capital Centre"
"NBA","ATL","Atlanta Hawks","Omni Coliseum"
"NBA","BOS","Boston Celtics","Boston Garden"
"NBA","BUF","Buffalo Braves","Buffalo Memorial Auditorium"
"NBA","CHI","Chicago Bulls","Chicago Stadium"
