"coachID","year","tmID","lgID","won","lost"
"ramsaja01","1970","PHI","NBA","47","35"
"ramsefr01","1970","KEN","ABA","32","35"
"rhodege01","1970","KEN","ABA","10","5"
"schaydo01","1970","BUF","NBA","22","60"
"sharmbi01","1970","UTS","ABA","57","27"
"shuege01","1970","BAL","NBA","42","40"
"steelje01","1970","CAR","ABA","17","25"
"toddro01","1970","POR","NBA","29","53"
"vanbrbu01","1970","DET","NBA","45","37"
"wilkele01","1970","SEA","NBA","38","44"
"willima05","1970","TEX","ABA","5","14"
"anderla01","1971","UTS","ABA","60","24"
"attleal01","1971","GSW","NBA","51","31"
"bassbo01","1971","FLO","ABA","36","48"
"biancal01","1971","VIR","ABA","45","39"
"binstma01","1971","PTC","ABA","4","6"
"carnelo01","1971","NYA","ABA","44","40"
"costela01","1971","MIL","NBA","63","19"
"cousybo01","1971","CIN","NBA","30","52"
"dischte01","1971","DET","NBA","0","2"
"fitchbi01","1971","CLE","NBA","23","59"
"fitzsco01","1971","PHO","NBA","49","33"
"gueriri01","1971","ATL","NBA","36","46"
"hannual01","1971","DNR","ABA","34","50"
"heinsto01","1971","BOS","NBA","56","26"
"holzmre01","1971","NYK","NBA","48","34"
"inmanst01","1971","POR","NBA","6","20"
"leonasl01","1971","INA","ABA","47","37"
"lloydea01","1971","DET","NBA","20","50"
"mccarba01","1971","MMP","ABA","26","58"
"mccarjo01","1971","BUF","NBA","22","59"
"mcmahja01","1971","PTC","ABA","21","53"
"meschto01","1971","CAR","ABA","35","49"
"mottadi01","1971","CHI","NBA","57","25"
"mullajo01","1971","KEN","ABA","68","16"
"nissato01","1971","DLC","ABA","42","42"
"ramsaja01","1971","PHI","NBA","30","52"
"schaydo01","1971","BUF","NBA","0","1"
"sharmbi01","1971","LAL","NBA","69","13"
"shuege01","1971","BAL","NBA","38","44"
"toddro01","1971","POR","NBA","12","44"
"vanbrbu01","1971","DET","NBA","6","4"
"wilkele01","1971","SEA","NBA","47","35"
"wintete01","1971","HOU","NBA","34","48"
"anderla01","1972","UTS","ABA","55","29"
"attleal01","1972","GSW","NBA","47","35"
"bassbo01","1972","MMT","ABA","24","60"
"biancal01","1972","VIR","ABA","42","42"
"brownda03","1972","DLC","ABA","4","8"
"brownla01","1972","CAR","ABA","57","27"
"buckwbu01","1972","SEA","NBA","13","24"
"carnelo01","1972","NYA","ABA","30","54"
"colanje01","1972","PHO","NBA","35","40"
"costela01","1972","MIL","NBA","60","22"
"cousybo01","1972","KCO","NBA","36","46"
"eganjo01","1972","HOU","NBA","16","19"
"fitchbi01","1972","CLE","NBA","32","50"
"fitzsco01","1972","ATL","NBA","46","36"
"hannual01","1972","DNR","ABA","47","37"
"heinsto01","1972","BOS","NBA","68","14"
"holzmre01","1972","NYK","NBA","57","25"
"joneskc01","1972","SDA","ABA","30","54"
"leonasl01","1972","INA","ABA","51","33"
"lloydea01","1972","DET","NBA","2","5"
"loughke01","1972","PHI","NBA","5","26"
"mccarba01","1972","DLC","ABA","24","48"
"mccloja01","1972","POR","NBA","21","61"
"mottadi01","1972","CHI","NBA","51","31"
"mullajo01","1972","KEN","ABA","56","28"
"nissato01","1972","SEA","NBA","13","32"
"ramsaja01","1972","BUF","NBA","21","61"
"rubinro01","1972","PHI","NBA","4","47"
"scottra01","1972","DET","NBA","38","37"
"sharmbi01","1972","LAL","NBA","60","22"
"shuege01","1972","BAL","NBA","52","30"
"vanbrbu01","1972","PHO","NBA","3","4"
"wintete01","1972","HOU","NBA","17","30"
"attleal01","1973","GSW","NBA","44","38"
"biancal01","1973","VIR","ABA","28","56"
"brownla01","1973","CAR","ABA","47","37"
"chambwi01","1973","SDA","ABA","37","47"
"costela01","1973","MIL","NBA","59","23"
"cousybo01","1973","KCO","NBA","6","16"
"eganjo01","1973","HOU","NBA","32","50"
"fitchbi01","1973","CLE","NBA","29","53"
"fitzsco01","1973","ATL","NBA","35","47"
"hannual01","1973","DNR","ABA","37","47"
"heinsto01","1973","BOS","NBA","56","26"
"holzmre01","1973","NYK","NBA","49","33"
"johnsph01","1973","KCO","NBA","27","30"
"joneskc01","1973","CAP","NBA","47","35"
"leonasl01","1973","INA","ABA","46","38"
"loughke01","1973","NYA","ABA","55","29"
"maclejo01","1973","PHO","NBA","30","52"
"mccarba01","1973","KEN","ABA","53","31"
"mccloja01","1973","POR","NBA","27","55"
"mottadi01","1973","CHI","NBA","54","28"
"mullajo01","1973","UTS","ABA","51","33"
"nissato01","1973","SAA","ABA","45","39"
"ramsaja01","1973","BUF","NBA","42","40"
"russebi01","1973","SEA","NBA","36","46"
"scottra01","1973","DET","NBA","52","30"
"sharmbi01","1973","LAL","NBA","47","35"
"shuege01","1973","PHI","NBA","25","57"
"vanbrbu01","1973","MMT","ABA","21","63"
"youngdr01","1973","KCO","NBA","0","3"
"attleal01","1974","GSW","NBA","48","34"
"bassbo01","1974","SAA","ABA","33","23"
"bayloel01","1974","NOJ","NBA","0","1"
