"tmID","year","rank","homeWon","homeLost","awayWon","awayLost","neutWon","neutLoss","won","lost","games"
"MMT","1973","5","14","28","7","35","0","0","21","63","84"
"NYA","1973","1","31","11","24","18","0","0","55","29","84"
"SAA","1973","3","27","15","18","24","0","0","45","39","84"
"SDA","1973","4","20","22","17","25","0","0","37","47","84"
"UTS","1973","1","33","9","18","24","0","0","51","33","84"
"VIR","1973","4","22","20","6","35","0","1","28","56","84"
"ATL","1973","2","23","18","12","25","0","4","35","47","82"
"BOS","1973","1","26","6","21","18","9","2","56","26","82"
"BUF","1973","3","19","13","17","21","6","6","42","40","82"
"CAP","1973","1","31","10","15","25","1","0","47","35","82"
"CHI","1973","2","32","9","21","19","1","0","54","28","82"
"CLE","1973","4","18","23","11","28","0","2","29","53","82"
"DET","1973","3","29","12","23","17","0","1","52","30","82"
"GSW","1973","2","23","18","20","20","1","0","44","38","82"
"HOU","1973","3","18","23","13","25","1","2","32","50","82"
"KCO","1973","4","20","21","13","28","0","0","33","49","82"
"LAL","1973","1","30","11","17","24","0","0","47","35","82"
"MIL","1973","1","31","7","24","16","4","0","59","23","82"
"NYK","1973","2","28","13","21","19","0","1","49","33","82"
"PHI","1973","4","14","23","9","30","2","4","25","57","82"
"PHO","1973","4","24","17","6","34","0","1","30","52","82"
"POR","1973","5","22","19","5","34","0","2","27","55","82"
"SEA","1973","3","22","19","14","27","0","0","36","46","82"
"DNA","1974","1","40","2","25","17","0","0","65","19","84"
"INA","1974","3","30","10","14","28","1","1","45","39","84"
"KEN","1974","1","39","3","19","23","0","0","58","26","84"
"MMS","1974","4","17","25","10","32","0","0","27","57","84"
"NYA","1974","1","35","7","22","19","1","0","58","26","84"
"SAA","1974","2","32","10","19","23","0","0","51","33","84"
"SDA","1974","5","22","20","9","33","0","0","31","53","84"
"SSL","1974","3","23","19","9","32","0","1","32","52","84"
"UTS","1974","4","29","13","9","33","0","0","38","46","84"
"VIR","1974","5","11","31","4","38","0","0","15","69","84"
"ATL","1974","4","22","19","9","32","0","0","31","51","82"
"BOS","1974","1","28","13","32","9","0","0","60","22","82"
"BUF","1974","2","30","11","19","22","0","0","49","33","82"
"CHI","1974","1","29","12","18","23","0","0","47","35","82"
"CLE","1974","3","29","12","11","30","0","0","40","42","82"
"DET","1974","3","26","15","14","27","0","0","40","42","82"
"GSW","1974","1","31","10","17","24","0","0","48","34","82"
"HOU","1974","2","29","12","12","29","0","0","41","41","82"
"KCO","1974","2","29","12","15","26","0","0","44","38","82"
"LAL","1974","5","21","20","9","32","0","0","30","52","82"
"MIL","1974","4","25","16","13","28","0","0","38","44","82"
"NOJ","1974","5","20","21","3","38","0","0","23","59","82"
"NYK","1974","3","23","18","17","24","0","0","40","42","82"
"PHI","1974","4","20","21","14","27","0","0","34","48","82"
"PHO","1974","4","22","19","10","31","0","0","32","50","82"
"POR","1974","3","28","13","10","31","0","0","38","44","82"
"SEA","1974","2","24","17","19","22","0","0","43","39","82"
"WSB","1974","1","36","5","24","17","0","0","60","22","82"
"DNA","1975","1","39","3","21","21","0","0","60","24","84"
"INA","1975","5","22","19","16","26","1","0","39","45","84"
"KEN","1975","4","32","10","14","27","0","1","46","38","84"
"NYA","1975","2","36","6","19","23","0","0","55","29","84"
"SAA","1975","3","30","12","20","21","0","1","50","34","84"
"SDS","1975","7","1","2","2","6","0","0","3","8","11"
"SSL","1975","6","21","21","13","28","1","0","35","49","84"
"UTS","1975","8","4","5","0","7","0","0","4","12","16"
"VIR","1975","9","13","29","2","39","0","0","15","68","83"
"ATL","1975","5","20","21","9","32","0","0","29","53","82"
"BOS","1975","1","31","10","23","18","0","0","54","28","82"
"BUF","1975","2","28","13","18","23","0","0","46","36","82"
"CHI","1975","4","15","26","9","32","0","0","24","58","82"
"CLE","1975","1","29","12","20","21","0","0","49","33","82"
"DET","1975","2","24","17","12","29","0","0","36","46","82"
"GSW","1975","1","36","5","23","18","0","0","59","23","82"
"HOU","1975","3","28","13","12","29","0","0","40","42","82"
"KCK","1975","3","25","16","6","35","0","0","31","51","82"
"LAL","1975","4","31","10","9","32","0","0","40","42","82"
"MIL","1975","1","22","19","16","25","0","0","38","44","82"
"NOJ","1975","4","22","19","16","25","0","0","38","44","82"
"NYK","1975","4","24","17","14","27","0","0","38","44","82"
"PHI","1975","2","34","7","12","29","0","0","46","36","82"
"PHO","1975","3","27","14","15","26","0","0","42","40","82"
"POR","1975","5","26","15","11","30","0","0","37","45","82"
"SEA","1975","2","31","10","12","29","0","0","43","39","82"
"WSB","1975","2","31","10","17","24","0","0","48","34","82"
"ATL","1976","6","19","22","12","29","0","0","31","51","82"
"BOS","1976","2","28","13","16","25","0","0","44","38","82"
"BUF","1976","4","23","18","7","34","0","0","30","52","82"
"CHI","1976","2","31","10","13","28","0","0","44","38","82"
"CLE","1976","4","29","12","14","27","0","0","43","39","82"
"DEN","1976","1","36","5","14","27","0","0","50","32","82"
"DET","1976","2","30","11","14","27","0","0","44","38","82"
"GSW","1976","3","29","12","17","24","0","0","46","36","82"
"HOU","1976","1","34","7","15","26","0","0","49","33","82"
"IND","1976","5","25","16","11","30","0","0","36","46","82"
"KCK","1976","4","28","13","12","29","0","0","40","42","82"
"LAL","1976","1","37","4","16","25","0","0","53","29","82"
"MIL","1976","6","24","17","6","35","0","0","30","52","82"
"NOJ","1976","5","26","15","9","32","0","0","35","47","82"
"NYK","1976","3","26","15","14","27","0","0","40","42","82"
"NYN","1976","5","10","31","12","29","0","0","22","60","82"
"PHI","1976","1","32","9","18","23","0","0","50","32","82"
"PHO","1976","5","26","15","8","33","0","0","34","48","82"
"POR","1976","2","35","6","14","27","0","0","49","33","82"
"SAS","1976","3","31","10","13","28","0","0","44","38","82"
"SEA","1976","4","27","14","13","28","0","0","40","42","82"
"WSB","1976","2","32","9","16","25","0","0","48","34","82"
"ATL","1977","4","29","12","12","29","0","0","41","41","82"
"BOS","1977","3","24","17","8","33","0","0","32","50","82"
"BUF","1977","4","20","21","7","34","0","0","27","55","82"
"CHI","1977","3","29","12","11","30","0","0","40","42","82"
"CLE","1977","3","27","14","16","25","0","0","43","39","82"
"DEN","1977","1","33","8","15","26","0","0","48","34","82"
"DET","1977","4","24","17","14","27","0","0","38","44","82"
"GSW","1977","5","30","11","13","28","0","0","43","39","82"
"HOU","1977","6","21","20","7","34","0","0","28","54","82"
