"lgID", "tmID", "name", "arena"
"NBL","CHF","Chicago Studebaker Flyers",""
"NBL","TCH","Toledo Jim White Chevrolets",""
"NBL","AGW","Akron Goodyear Wingfoots",""
"NBL","CHB","Chicago Bruins",""
"NBL","AFS","Akron Firestone Non-Skids",""
"NBL","DTE","Detroit Eagles",""
"NBL","HAM","Hammond Ciesar All-Americans",""
"NBL","CWH","Warren Penns/Cleveland White Horses",""
"NBL","PGP","Pittsburgh Pirates",""
"NBL","BFB","Buffalo Bisons",""
"NBL","CNC","Richmond King Clothiers/Cincinnati Comellos",""
"NBL","COL","Columbus Athletic Supply",""
"NBL","DYM","Dayton Metropolitans",""
"NBL","FWE","Fort Wayne General Electrics",""
"NBL","KNK","Kankakee Gallagher Trojans",""
"NBL","WAR","Warren Penns",""
"NBL","WHT","Whiting Ciesar All-Americans",""
