"tmID","year","homeWon","homeLost","awayWon","awayLost","neutWon","neutLoss","won","lost","games"
"CAR","1973","29","13","18","24","0","0","47","37","84"
"DNR","1973","24","18","13","28","0","1","37","47","84"
"INA","1973","29","11","15","27","2","0","46","38","84"
"KEN","1973","30","12","23","19","0","0","53","31","84"
"MMT","1973","14","28","7","35","0","0","21","63","84"
"NYA","1973","31","11","24","18","0","0","55","29","84"
"SAA","1973","27","15","18","24","0","0","45","39","84"
"SDA","1973","20","22","17","25","0","0","37","47","84"
"UTS","1973","33","9","18","24","0","0","51","33","84"
"VIR","1973","22","20","6","35","0","1","28","56","84"
"ATL","1973","23","18","12","25","0","4","35","47","82"
"BOS","1973","26","6","21","18","9","2","56","26","82"
"BUF","1973","19","13","17","21","6","6","42","40","82"
"CAP","1973","31","10","15","25","1","0","47","35","82"
"CHI","1973","32","9","21","19","1","0","54","28","82"
"CLE","1973","18","23","11","28","0","2","29","53","82"
"DET","1973","29","12","23","17","0","1","52","30","82"
"GSW","1973","23","18","20","20","1","0","44","38","82"
"HOU","1973","18","23","13","25","1","2","32","50","82"
"KCO","1973","20","21","13","28","0","0","33","49","82"
"LAL","1973","30","11","17","24","0","0","47","35","82"
"MIL","1973","31","7","24","16","4","0","59","23","82"
"NYK","1973","28","13","21","19","0","1","49","33","82"
"PHI","1973","14","23","9","30","2","4","25","57","82"
"PHO","1973","24","17","6","34","0","1","30","52","82"
"POR","1973","22","19","5","34","0","2","27","55","82"
"SEA","1973","22","19","14","27","0","0","36","46","82"
"DNA","1974","40","2","25","17","0","0","65","19","84"
"INA","1974","30","10","14","28","1","1","45","39","84"
"KEN","1974","39","3","19","23","0","0","58","26","84"
"MMS","1974","17","25","10","32","0","0","27","57","84"
"NYA","1974","35","7","22","19","1","0","58","26","84"
"SAA","1974","32","10","19","23","0","0","51","33","84"
"SDA","1974","22","20","9","33","0","0","31","53","84"
"SSL","1974","23","19","9","32","0","1","32","52","84"
"UTS","1974","29","13","9","33","0","0","38","46","84"
"VIR","1974","11","31","4","38","0","0","15","69","84"
"ATL","1974","22","19","9","32","0","0","31","51","82"
"BOS","1974","28","13","32","9","0","0","60","22","82"
"BUF","1974","30","11","19","22","0","0","49","33","82"
"CHI","1974","29","12","18","23","0","0","47","35","82"
"CLE","1974","29","12","11","30","0","0","40","42","82"
"DET","1974","26","15","14","27","0","0","40","42","82"
"GSW","1974","31","10","17","24","0","0","48","34","82"
"HOU","1974","29","12","12","29","0","0","41","41","82"
"KCO","1974","29","12","15","26","0","0","44","38","82"
"LAL","1974","21","20","9","32","0","0","30","52","82"
"MIL","1974","25","16","13","28","0","0","38","44","82"
"NOJ","1974","20","21","3","38","0","0","23","59","82"
"NYK","1974","23","18","17","24","0","0","40","42","82"
"PHI","1974","20","21","14","27","0","0","34","48","82"
"PHO","1974","22","19","10","31","0","0","32","50","82"
"POR","1974","28","13","10","31","0","0","38","44","82"
"SEA","1974","24","17","19","22","0","0","43","39","82"
"WSB","1974","36","5","24","17","0","0","60","22","82"
"DNA","1975","39","3","21","21","0","0","60","24","84"
"INA","1975","22","19","16","26","1","0","39","45","84"
"KEN","1975","32","10","14","27","0","1","46","38","84"
"NYA","1975","36","6","19","23","0","0","55","29","84"
"SAA","1975","30","12","20","21","0","1","50","34","84"
"SDS","1975","1","2","2","6","0","0","3","8","11"
"SSL","1975","21","21","13","28","1","0","35","49","84"
"UTS","1975","4","5","0","7","0","0","4","12","16"
"VIR","1975","13","29","2","39","0","0","15","68","83"
"ATL","1975","20","21","9","32","0","0","29","53","82"
"BOS","1975","31","10","23","18","0","0","54","28","82"
"BUF","1975","28","13","18","23","0","0","46","36","82"
"CHI","1975","15","26","9","32","0","0","24","58","82"
"CLE","1975","29","12","20","21","0","0","49","33","82"
"DET","1975","24","17","12","29","0","0","36","46","82"
"GSW","1975","36","5","23","18","0","0","59","23","82"
"HOU","1975","28","13","12","29","0","0","40","42","82"
"KCK","1975","25","16","6","35","0","0","31","51","82"
"LAL","1975","31","10","9","32","0","0","40","42","82"
"MIL","1975","22","19","16","25","0","0","38","44","82"
"NOJ","1975","22","19","16","25","0","0","38","44","82"
"NYK","1975","24","17","14","27","0","0","38","44","82"
"PHI","1975","34","7","12","29","0","0","46","36","82"
"PHO","1975","27","14","15","26","0","0","42","40","82"
"POR","1975","26","15","11","30","0","0","37","45","82"
"SEA","1975","31","10","12","29","0","0","43","39","82"
"WSB","1975","31","10","17","24","0","0","48","34","82"
"ATL","1976","19","22","12","29","0","0","31","51","82"
"BOS","1976","28","13","16","25","0","0","44","38","82"
"BUF","1976","23","18","7","34","0","0","30","52","82"
"CHI","1976","31","10","13","28","0","0","44","38","82"
"CLE","1976","29","12","14","27","0","0","43","39","82"
"DEN","1976","36","5","14","27","0","0","50","32","82"
"DET","1976","30","11","14","27","0","0","44","38","82"
"GSW","1976","29","12","17","24","0","0","46","36","82"
"HOU","1976","34","7","15","26","0","0","49","33","82"
"IND","1976","25","16","11","30","0","0","36","46","82"
"KCK","1976","28","13","12","29","0","0","40","42","82"
"LAL","1976","37","4","16","25","0","0","53","29","82"
"MIL","1976","24","17","6","35","0","0","30","52","82"
"NOJ","1976","26","15","9","32","0","0","35","47","82"
"NYK","1976","26","15","14","27","0","0","40","42","82"
"NYN","1976","10","31","12","29","0","0","22","60","82"
"PHI","1976","32","9","18","23","0","0","50","32","82"
"PHO","1976","26","15","8","33","0","0","34","48","82"
"POR","1976","35","6","14","27","0","0","49","33","82"
"SAS","1976","31","10","13","28","0","0","44","38","82"
"SEA","1976","27","14","13","28","0","0","40","42","82"
"WSB","1976","32","9","16","25","0","0","48","34","82"
"ATL","1977","29","12","12","29","0","0","41","41","82"
"BOS","1977","24","17","8","33","0","0","32","50","82"
"BUF","1977","20","21","7","34","0","0","27","55","82"
"CHI","1977","29","12","11","30","0","0","40","42","82"
"CLE","1977","27","14","16","25","0","0","43","39","82"
"DEN","1977","33","8","15","26","0","0","48","34","82"
"DET","1977","24","17","14","27","0","0","38","44","82"
"GSW","1977","30","11","13","28","0","0","43","39","82"
"HOU","1977","21","20","7","34","0","0","28","54","82"
"IND","1977","21","20","10","31","0","0","31","51","82"
"KCK","1977","22","19","9","32","0","0","31","51","82"
"LAL","1977","29","12","16","25","0","0","45","37","82"
"MIL","1977","28","13","16","25","0","0","44","38","82"
"NJN","1977","18","23","6","35","0","0","24","58","82"
"NOJ","1977","27","14","12","29","0","0","39","43","82"
"NYK","1977","29","12","14","27","0","0","43","39","82"
"PHI","1977","37","4","18","23","0","0","55","27","82"
"PHO","1977","34","7","15","26","0","0","49","33","82"
"POR","1977","36","5","22","19","0","0","58","24","82"
"SAS","1977","32","9","20","21","0","0","52","30","82"
"SEA","1977","31","10","16","25","0","0","47","35","82"
"WSB","1977","29","12","15","26","0","0","44","38","82"
"ATL","1978","34","7","12","29","0","0","46","36","82"
"BOS","1978","21","20","8","33","0","0","29","53","82"
"CHI","1978","19","22","12","29","0","0","31","51","82"
"CLE","1978","20","21","10","31","0","0","30","52","82"
"DEN","1978","29","12","18","23","0","0","47","35","82"
"DET","1978","22","19","8","33","0","0","30","52","82"
"GSW","1978","23","18","15","26","0","0","38","44","82"
"HOU","1978","30","11","17","24","0","0","47","35","82"
"IND","1978","25","16","13","28","0","0","38","44","82"
"KCK","1978","32","9","16","25","0","0","48","34","82"
"LAL","1978","31","10","16","25","0","0","47","35","82"
"MIL","1978","28","13","10","31","0","0","38","44","82"
"NJN","1978","25","16","12","29","0","0","37","45","82"
"NOJ","1978","22","19","4","37","0","0","26","56","82"
"NYK","1978","23","18","8","33","0","0","31","51","82"
"PHI","1978","31","10","16","25","0","0","47","35","82"
"PHO","1978","32","9","18","23","0","0","50","32","82"
"POR","1978","33","8","12","29","0","0","45","37","82"
"SAS","1978","29","12","19","22","0","0","48","34","82"
"SDC","1978","29","12","14","27","0","0","43","39","82"
"SEA","1978","31","10","21","20","0","0","52","30","82"
"WSB","1978","31","10","23","18","0","0","54","28","82"
"ATL","1979","32","9","18","23","0","0","50","32","82"
"BOS","1979","35","6","26","15","0","0","61","21","82"
"CHI","1979","21","20","9","32","0","0","30","52","82"
"CLE","1979","28","13","9","32","0","0","37","45","82"
"DEN","1979","24","17","6","35","0","0","30","52","82"
"DET","1979","13","28","3","38","0","0","16","66","82"
"GSW","1979","15","26","9","32","0","0","24","58","82"
"HOU","1979","29","12","12","29","0","0","41","41","82"
"IND","1979","26","15","11","30","0","0","37","45","82"
